Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication,Precaution_1,Precaution_2,Precaution_3,Precaution_4,All_Symptoms,Symptoms_with_Severity
Allergy, shivering, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' shivering', ' chills', ' watering_from_eyes', nan]","[(' shivering', 5), (' chills', 3), (' watering_from_eyes', 4)]"
Allergy, continuous_sneezing, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' chills', ' watering_from_eyes', nan]","[(' continuous_sneezing', 4), (' chills', 3), (' watering_from_eyes', 4)]"
Allergy, continuous_sneezing, shivering, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' shivering', ' watering_from_eyes', nan]","[(' continuous_sneezing', 4), (' shivering', 5), (' watering_from_eyes', 4)]"
Allergy, continuous_sneezing, shivering, chills,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' shivering', ' chills', nan]","[(' continuous_sneezing', 4), (' shivering', 5), (' chills', 3)]"
Allergy, shivering, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' shivering', ' chills', ' watering_from_eyes', nan]","[(' shivering', 5), (' chills', 3), (' watering_from_eyes', 4)]"
Allergy, continuous_sneezing, chills, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' chills', ' watering_from_eyes', nan]","[(' continuous_sneezing', 4), (' chills', 3), (' watering_from_eyes', 4)]"
Allergy, continuous_sneezing, shivering, watering_from_eyes,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' shivering', ' watering_from_eyes', nan]","[(' continuous_sneezing', 4), (' shivering', 5), (' watering_from_eyes', 4)]"
Allergy, continuous_sneezing, shivering, chills,,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' shivering', ' chills', nan]","[(' continuous_sneezing', 4), (' shivering', 5), (' chills', 3)]"
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']",apply calamine,cover area with bandage,,use ice to compress itching,"[' continuous_sneezing', ' shivering', ' chills', ' watering_from_eyes']","[(' continuous_sneezing', 4), (' shivering', 5), (' chills', 3), (' watering_from_eyes', 4)]"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting']","[(' stomach_pain', 5), (' acidity', 3), (' ulcers_on_tongue', 4), (' vomiting', 5)]"
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' ulcers_on_tongue', ' vomiting', ' cough']","[(' stomach_pain', 5), (' ulcers_on_tongue', 4), (' vomiting', 5), (' cough', 4)]"
GERD, stomach_pain, acidity, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' acidity', ' vomiting', ' cough']","[(' stomach_pain', 5), (' acidity', 3), (' vomiting', 5), (' cough', 4)]"
GERD, stomach_pain, acidity, ulcers_on_tongue, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' cough']","[(' stomach_pain', 5), (' acidity', 3), (' ulcers_on_tongue', 4), (' cough', 4)]"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting']","[(' stomach_pain', 5), (' acidity', 3), (' ulcers_on_tongue', 4), (' vomiting', 5)]"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' vomiting']","[(' stomach_pain', 5), (' acidity', 3), (' ulcers_on_tongue', 4), (' vomiting', 5)]"
GERD, acidity, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' acidity', ' ulcers_on_tongue', ' vomiting', ' cough']","[(' acidity', 3), (' ulcers_on_tongue', 4), (' vomiting', 5), (' cough', 4)]"
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' ulcers_on_tongue', ' vomiting', ' cough']","[(' stomach_pain', 5), (' ulcers_on_tongue', 4), (' vomiting', 5), (' cough', 4)]"
GERD, stomach_pain, acidity, vomiting, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' acidity', ' vomiting', ' cough']","[(' stomach_pain', 5), (' acidity', 3), (' vomiting', 5), (' cough', 4)]"
GERD, stomach_pain, acidity, ulcers_on_tongue, cough,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"[' stomach_pain', ' acidity', ' ulcers_on_tongue', ' cough']","[(' stomach_pain', 5), (' acidity', 3), (' ulcers_on_tongue', 4), (' cough', 4)]"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' yellowish_skin', ' nausea']","[('itching', 1), (' vomiting', 5), (' yellowish_skin', 3), (' nausea', 5)]"
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"[' vomiting', ' yellowish_skin', ' nausea', ' loss_of_appetite']","[(' vomiting', 5), (' yellowish_skin', 3), (' nausea', 5), (' loss_of_appetite', 4)]"
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' yellowish_skin', ' nausea', ' loss_of_appetite']","[('itching', 1), (' yellowish_skin', 3), (' nausea', 5), (' loss_of_appetite', 4)]"
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' nausea', ' loss_of_appetite']","[('itching', 1), (' vomiting', 5), (' nausea', 5), (' loss_of_appetite', 4)]"
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' yellowish_skin', ' loss_of_appetite']","[('itching', 1), (' vomiting', 5), (' yellowish_skin', 3), (' loss_of_appetite', 4)]"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' yellowish_skin', ' nausea']","[('itching', 1), (' vomiting', 5), (' yellowish_skin', 3), (' nausea', 5)]"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' yellowish_skin', ' nausea']","[('itching', 1), (' vomiting', 5), (' yellowish_skin', 3), (' nausea', 5)]"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' yellowish_skin', ' nausea']","[('itching', 1), (' vomiting', 5), (' yellowish_skin', 3), (' nausea', 5)]"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' yellowish_skin', ' nausea']","[('itching', 1), (' vomiting', 5), (' yellowish_skin', 3), (' nausea', 5)]"
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']",cold baths,anti itch medicine,consult doctor,eat healthy,"['itching', ' vomiting', ' yellowish_skin', ' nausea']","[('itching', 1), (' vomiting', 5), (' yellowish_skin', 3), (' nausea', 5)]"
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition']","[('itching', 1), (' skin_rash', 3), (' stomach_pain', 5), (' burning_micturition', 6)]"
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' stomach_pain', ' burning_micturition', ' spotting_ urination']","[('itching', 1), (' stomach_pain', 5), (' burning_micturition', 6), (' spotting_ urination', None)]"
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' skin_rash', ' burning_micturition', ' spotting_ urination']","[('itching', 1), (' skin_rash', 3), (' burning_micturition', 6), (' spotting_ urination', None)]"
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' skin_rash', ' stomach_pain', ' spotting_ urination']","[('itching', 1), (' skin_rash', 3), (' stomach_pain', 5), (' spotting_ urination', None)]"
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition']","[('itching', 1), (' skin_rash', 3), (' stomach_pain', 5), (' burning_micturition', 6)]"
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"[' skin_rash', ' stomach_pain', ' burning_micturition', ' spotting_ urination']","[(' skin_rash', 3), (' stomach_pain', 5), (' burning_micturition', 6), (' spotting_ urination', None)]"
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' stomach_pain', ' burning_micturition', ' spotting_ urination']","[('itching', 1), (' stomach_pain', 5), (' burning_micturition', 6), (' spotting_ urination', None)]"
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' skin_rash', ' burning_micturition', ' spotting_ urination']","[('itching', 1), (' skin_rash', 3), (' burning_micturition', 6), (' spotting_ urination', None)]"
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' skin_rash', ' stomach_pain', ' spotting_ urination']","[('itching', 1), (' skin_rash', 3), (' stomach_pain', 5), (' spotting_ urination', None)]"
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']",stop irritation,consult nearest hospital,stop taking drug,follow up,"['itching', ' skin_rash', ' stomach_pain', ' burning_micturition']","[('itching', 1), (' skin_rash', 3), (' stomach_pain', 5), (' burning_micturition', 6)]"
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases']","[(' vomiting', 5), (' loss_of_appetite', 4), (' abdominal_pain', 4), (' passage_of_gases', 5)]"
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' indigestion', ' abdominal_pain', ' passage_of_gases']","[(' vomiting', 5), (' indigestion', 5), (' abdominal_pain', 4), (' passage_of_gases', 5)]"
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' indigestion', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases']","[(' indigestion', 5), (' loss_of_appetite', 4), (' abdominal_pain', 4), (' passage_of_gases', 5)]"
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' loss_of_appetite', ' abdominal_pain', ' passage_of_gases']","[(' vomiting', 5), (' loss_of_appetite', 4), (' abdominal_pain', 4), (' passage_of_gases', 5)]"
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' indigestion', ' abdominal_pain', ' passage_of_gases']","[(' vomiting', 5), (' indigestion', 5), (' abdominal_pain', 4), (' passage_of_gases', 5)]"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' indigestion', ' loss_of_appetite', ' passage_of_gases']","[(' vomiting', 5), (' indigestion', 5), (' loss_of_appetite', 4), (' passage_of_gases', 5)]"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain']","[(' vomiting', 5), (' indigestion', 5), (' loss_of_appetite', 4), (' abdominal_pain', 4)]"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain']","[(' vomiting', 5), (' indigestion', 5), (' loss_of_appetite', 4), (' abdominal_pain', 4)]"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain']","[(' vomiting', 5), (' indigestion', 5), (' loss_of_appetite', 4), (' abdominal_pain', 4)]"
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"[' vomiting', ' indigestion', ' loss_of_appetite', ' abdominal_pain']","[(' vomiting', 5), (' indigestion', 5), (' loss_of_appetite', 4), (' abdominal_pain', 4)]"
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts']","[(' muscle_wasting', 3), (' patches_in_throat', 6), (' high_fever', 7), (' extra_marital_contacts', 5)]"
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan]","[(' patches_in_throat', 6), (' high_fever', 7), (' extra_marital_contacts', 5)]"
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' high_fever', ' extra_marital_contacts', nan]","[(' muscle_wasting', 3), (' high_fever', 7), (' extra_marital_contacts', 5)]"
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' patches_in_throat', ' extra_marital_contacts', nan]","[(' muscle_wasting', 3), (' patches_in_throat', 6), (' extra_marital_contacts', 5)]"
AIDS, muscle_wasting, patches_in_throat, high_fever,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' patches_in_throat', ' high_fever', nan]","[(' muscle_wasting', 3), (' patches_in_throat', 6), (' high_fever', 7)]"
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts']","[(' muscle_wasting', 3), (' patches_in_throat', 6), (' high_fever', 7), (' extra_marital_contacts', 5)]"
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' patches_in_throat', ' high_fever', ' extra_marital_contacts']","[(' muscle_wasting', 3), (' patches_in_throat', 6), (' high_fever', 7), (' extra_marital_contacts', 5)]"
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' patches_in_throat', ' high_fever', ' extra_marital_contacts', nan]","[(' patches_in_throat', 6), (' high_fever', 7), (' extra_marital_contacts', 5)]"
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' high_fever', ' extra_marital_contacts', nan]","[(' muscle_wasting', 3), (' high_fever', 7), (' extra_marital_contacts', 5)]"
AIDS, muscle_wasting, patches_in_throat, high_fever,,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"[' muscle_wasting', ' patches_in_throat', ' high_fever', nan]","[(' muscle_wasting', 3), (' patches_in_throat', 6), (' high_fever', 7)]"
Diabetes , fatigue, weight_loss, restlessness, lethargy,,have balanced diet,exercise,consult doctor,follow up,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy']","[(' fatigue', 4), (' weight_loss', 3), (' restlessness', 5), (' lethargy', 2)]"
Diabetes , fatigue, weight_loss, restlessness, lethargy,,have balanced diet,exercise,consult doctor,follow up,"[' fatigue', ' weight_loss', ' restlessness', ' lethargy']","[(' fatigue', 4), (' weight_loss', 3), (' restlessness', 5), (' lethargy', 2)]"
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level,,have balanced diet,exercise,consult doctor,follow up,"[' weight_loss', ' restlessness', ' lethargy', ' irregular_sugar_level']","[(' weight_loss', 3), (' restlessness', 5), (' lethargy', 2), (' irregular_sugar_level', 5)]"
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level,,have balanced diet,exercise,consult doctor,follow up,"[' fatigue', ' restlessness', ' lethargy', ' irregular_sugar_level']","[(' fatigue', 4), (' restlessness', 5), (' lethargy', 2), (' irregular_sugar_level', 5)]"
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level,,have balanced diet,exercise,consult doctor,follow up,"[' fatigue', ' weight_loss', ' lethargy', ' irregular_sugar_level']","[(' fatigue', 4), (' weight_loss', 3), (' lethargy', 2), (' irregular_sugar_level', 5)]"
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level,,have balanced diet,exercise,consult doctor,follow up,"[' fatigue', ' weight_loss', ' restlessness', ' irregular_sugar_level']","[(' fatigue', 4), (' weight_loss', 3), (' restlessness', 5), (' irregular_sugar_level', 5)]"
